province_id,province_name,latitude,longitude
1,Amnat Charoen,15.8640,104.6278
2,Ang Thong,7.5478,99.9816
3,Bangkok,13.7525,100.4935
4,Bueng Kan,18.3674,103.6516
5,Buri Ram,14.9956,103.1079
6,Chachoengsao,13.6892,101.0708
7,Chai Nat,15.1531,100.1524
8,Chaiyaphum,15.8068,102.0315
9,Chanthaburi,12.6089,102.1120
10,Chiang Mai,18.7883,98.9859
11,Chiang Rai,19.9069,99.8333
12,Chon Buri,13.3662,100.9872
13,Chumphon,16.3684,104.0549
14,Kalasin,16.4340,103.5059
15,Kamphaeng Phet,7.1343,100.2922
16,Kanchanaburi,14.0227,99.5323
17,Khon Kaen,16.4304,102.8356
18,Krabi,8.0635,98.9162
19,Lampang,18.2899,99.4959
20,Lamphun,18.5776,99.0069
21,Loei,17.4904,101.7286
22,Lop Buri,14.8023,100.6147
23,Mae Hong Son,19.3015,97.9666
24,Maha Sarakham,16.1881,103.2987
25,Mukdahan,16.5414,104.7291
26,Nakhon Nayok,14.2036,101.2147
27,Nakhon Pathom,13.8341,100.0503
28,Nakhon Phanom,17.4032,104.7853
29,Nakhon Ratchasima,14.9748,102.0978
30,Nakhon Sawan,15.7058,100.1330
31,Nakhon Si Thammarat,8.4328,99.9628
32,Nan,18.7779,100.7737
33,Narathiwat,6.4350,101.8229
34,Nong Bua Lam Phu,17.2022,102.4407
35,Nong Khai,17.8825,102.7482
36,Nonthaburi,13.8429,100.4938
37,Pathum Thani,14.0204,100.5340
38,Pattani,6.8681,101.2536
39,Phangnga,8.4612,98.5313
40,Phatthalung,7.6177,100.0809
41,Phayao,19.1666,99.9019
42,Phetchabun,16.4180,101.1557
43,Phetchaburi,13.1053,99.9475
44,Phichit,16.4428,100.3438
45,Phitsanulok,16.8150,100.2648
46,Phra Nakhon Si Ayutthaya,14.3535,100.5646
47,Phrae,18.1418,100.1426
48,Phuket,7.8848,98.3892
49,Prachin Buri,14.0541,101.3724
50,Prachuap Khiri Khan,11.8058,99.7967
51,Ranong,9.9641,98.6340
52,Ratchaburi,13.5391,99.8197
53,Rayong,12.6818,101.2778
54,Roi Et,16.0568,103.6514
55,Sa Kaeo,15.8380,102.9096
56,Sakon Nakhon,17.1651,104.1501
57,Samut Prakan,13.5949,100.5966
58,Samut Sakhon,13.5498,100.2743
59,Samut Songkhram,13.4087,100.0005
60,Saraburi,14.5249,100.9161
61,Satun,6.6152,100.0664
62,Si Sa Ket,15.1144,104.3289
63,Sing Buri,14.8935,100.3984
64,Songkhla,7.1973,100.5932
65,Sukhothai,17.0109,99.8204
66,Suphan Buri,14.4699,100.1165
67,Surat Thani,9.1404,99.3241
68,Surin,14.8842,103.4906
69,Tak,16.8723,99.1248
70,Trang,7.5558,99.6077
71,Trat,12.2441,102.5123
72,Ubon Ratchathani,15.2274,104.8589
73,Udon Thani,17.4082,102.7868
74,Uthai Thani,15.3825,100.0278
75,Uttaradit,17.6217,100.0982
76,Yala,6.5567,101.2903
77,Yasothon,15.7927,104.1453
